Row_ID,Paper_ID,Authors,Year,Title,ID_FullText,Case countries,Continent,Latitude,Longitude,Food system classification ,"Non-legume main Farm/forest products for 
 which the production is being intensified (NOT all products produced)",Legume,Legume_all,Ecological outcome,Social outcome,Combined ecological-social outcome,Description combined ecological-social outcome,Description combined ecological-social outcome
181,428,"Novotny I.P., Tittonell P., Fuentes-Ponce M.H., López-Ridaura S., Rossing W.A.H.",2021,"The importance of the traditional milpa in food security and nutritional self-sufficiency in the highlands of Oaxaca, Mexico",167,Mexico,Central America,17.28374561,-97.57484918,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
180,428,"Novotny I.P., Tittonell P., Fuentes-Ponce M.H., López-Ridaura S., Rossing W.A.H.",2021,"The importance of the traditional milpa in food security and nutritional self-sufficiency in the highlands of Oaxaca, Mexico",167,Mexico,Central America,17.34699932,-97.558249,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
361,762,"Isaacs KB, Snapp SS, Chung K, Waldman KB. ",2016,Assessing the value of diverse cropping systems under a new agricultural policy environment in Rwanda.,347,Rwanda,Africa,-1.607784029,29.33341025,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Mix,Win-Mix,Positive Ecological Outcome,Positive Ecological Outcome
316,666,"Workayehu T., Wortmann C.S.",2011,Maize-bean intercrop weed suppression and profitability in Southern Ethiopia,268,Ethiopia,Africa,7.083333,38.5,Grain / Common bean,Maize,Common Bean,Common Bean,Mix,Win,Mix-Win,Positive Social Outcome,Positive Social Outcome
32,64,"Belay D., Schulthess F., Omwega C.",2009,The profitability of maize-haricot bean intercropping techniques to control maize stem borers under low pest densities in Ethiopia,32,Ethiopia,Africa,9.333333,41.183333,Grain / Common bean,Maize,Common Bean,Common Bean,Mix,Win,Mix-Win,Positive Social Outcome,Positive Social Outcome
313,633,"Uriza-Ávila D.E., Rebolledo-Martínez A., Rebolledo-Martínez L.",2005,Short cycle crops intercropped with pineapple: An option to increase productivity,260,Mexico,Central America,18.1,-95.533333,Non-Grain / Common bean,Pineapple,Common Bean,Common Bean,Mix,Win,Mix-Win,Positive Social Outcome,Positive Social Outcome
78,200,"Glenk K., Shrestha S., Topp C.F.E., Sánchez B., Iglesias A., Dibari C., Merante P.",2017,A farm level approach to explore farm gross margin effects of soil organic carbon management,77,Spain,Europe,41.479044,-0.701625,Grain / Common bean + Lupin (+ Pea?),"Wheat, Barley",Common Bean,Common Bean,Mix,Win,Mix-Win,Positive Social Outcome,Positive Social Outcome
375,776,"Bitew, Y., Alemayehu, G., Adego, E., & Assefa, A. (2019, Dec). ",2019,"Boosting land use efficiency, profitability and productivity of finger millet by intercropping with grain legumes",361,Ethiopia,Africa,11.340569,36.934292,Grain / Common bean,Finger Millet,Common Bean,Common Bean,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
13,19,"Alemayehu A., Tamado T., Nigussie D., Yigzaw D., Kinde T., Wortmann C.S.",2017,Maize-common bean intercropping to optimize maize-based crop production,16,Ethiopia,Africa,11.39267358,37.11324986,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
265,556,"Sime G., Aune J.B.",2018,Sustainability of improved crop varieties and agricultural practices: A case study in the central rift valley of Ethiopia,228,Ethiopia,Africa,7.15,38.716667,Grain / Common bean,Maize,Common Bean,Common Bean,Win,Win,Win-Win,Positive Socio-ecological Outcomes,Positive Socio-ecological Outcomes
